#gene	pmid_counts
5817	102
5889	102
6019	102
6523	102
652995	102
6582	102
6812	102
7134	102
7791	102
8575	102
9532	102
10163	101
10401	101
10992	101
110366354	101
11060	101
1365	101
1395	101
1421	101
161	101
1937	101
2104	101
2131	101
22938	101
23286	101
27043	101
27350	101
282618	101
2993	101
3028	101
3269	101
406900	101
4131	101
4134	101
4303	101
4735	101
5184	101
54472	101
54577	101
55193	101
55740	101
57104	101
6122	101
6124	101
6187	101
6755	101
6788	101
6895	101
7083	101
7293	101
7436	101
8570	101
8815	101
9181	101
10130	100
1201	100
154796	100
1848	100
189	100
1936	100
25855	100
26135	100
3009	100
3284	100
3702	100
3978	100
3991	100
406892	100
4838	100
5104	100
51147	100
5286	100
5516	100
571	100
5726	100
5795	100
5830	100
5870	100
6130	100
6550	100
6632	100
8754	100
8851	100
9584	100
10614	99
11035	99
164656	99
1665	99
1959	99
2058	99
2220	99
26523	99
2887	99
325	99
3460	99
4055	99
4060	99
407042	99
407048	99
4331	99
481	99
4824	99
5345	99
5536	99
5648	99
5695	99
5720	99
57292	99
6129	99
643	99
6507	99
6638	99
6710	99
6742	99
6996	99
7072	99
7284	99
84634	99
8881	99
8907	99
9252	99
9318	99
9967	99
10808	98
1103	98
11082	98
1314	98
1485	98
23345	98
25836	98
2671	98
27032	98
2775	98
283131	98
28514	98
2915	98
3006	98
3068	98
3710	98
4521	98
4921	98
5015	98
5284	98
5422	98
54361	98
55662	98
55869	98
57016	98
5929	98
5981	98
599	98
6456	98
6715	98
7026	98
7832	98
790	98
8667	98
8714	98
8912	98
909	98
921	98
9775	98
10142	97
10527	97
10540	97
109623489	97
1107	97
1270	97
1373	97
140	97
2118	97
2268	97
23136	97
26088	97
2677	97
2744	97
2869	97
3046	97
3283	97
3399	97
3601	97
4052	97
4240	97
4758	97
5606	97
5694	97
5733	97
6326	97
6449	97
6515	97
6633	97
6857	97
7403	97
7433	97
9241	97
10294	96
1075	96
10980	96
1633	96
1870	96
1894	96
200315	96
3161	96
3808	96
3927	96
412	96
4856	96
4880	96
51720	96
5173	96
554313	96
5789	96
6184	96
6191	96
6202	96
623	96
6431	96
7169	96
8364	96
9063	96
9075	96
9093	96
9099	96
9869	96
10019	95
10036	95
10507	95
10537	95
10658	95
10970	95
11096	95
11201	95
112398	95
1439	95
1641	95
23175	95
27	95
2898	95
3148	95
3549	95
3914	95
4477	95
4644	95
4952	95
51341	95
5142	95
55072	95
6300	95
640	95
6781	95
7417	95
81793	95
8533	95
8553	95
866	95
8726	95
8858	95
9351	95
9401	95
